tier,name,program_type,country,city,website,fundingcake_url,description,tag_labels,category_labels,deadline_signal,money_terms,equity_pct,completeness,slug,logo_url,facebook,twitter,linkedin,instagram,youtube
1,1871,accelerator,US,Chicago,https://1871.com,https://fundingcake.com/listing/1871/,"1871 is a community of innovators, VC, and leaders in Chicago.",,Chicago Accelerators & Incubators | Chicago Conferences | Chicago Coworking | Chicago Meetups | Chicago Venture Capital | Chicago 🇺🇸,,,,1.0,1871,https://fundingcake.com/wp-content/uploads/2023/05/1871.jpg,,https://twitter.com/1871Chicago,,,
1,43North,accelerator,US,Buffalo,https://www.43north.org,https://fundingcake.com/listing/43north/,"43North invests $5M in annual investment as they are committed to growing the startup scene in Buffalo, NY.",portfolio jobs,Buffalo Accelerators & Incubators | Buffalo Meetups | Buffalo Venture Capital | Buffalo 🇺🇸,annual,$5M,,1.0,43north,https://fundingcake.com/wp-content/uploads/2023/05/43North.png,,https://twitter.com/43north_,,,
1,500 Global,accelerator,US,San Francisco,https://500.co,https://fundingcake.com/listing/500-global/,"500 Global is formerly known as 500 startups. 500 Global is a global accelerator that invests in startup from across the globe. The applications on a rolling basis. It has the following program:

- [Alberta Accelerator](https://fundingcake.com/listing/alberta-accelerator/)
- 500 Global Flagship Accelerator Program
- 500 Egypt
- 500 Georgia
- Sanabil 500 MENA Seed Accelerator
- Ashdod Port Accelerator by 500 Global
- ANGKOR 500
- Alberta Accelerator by 500
- Shinhan Squarebridge Daejeon
- Somos Lucha Latam Program
- Accelerate Aichi",global startup accelerators,San Francisco Accelerators | San Francisco 🇺🇸🌉,rolling,,,1.0,500-global,https://fundingcake.com/wp-content/uploads/2023/02/500-Global-Accelerator.png,https://www.facebook.com/500Global,https://twitter.com/500GlobalVC,https://www.linkedin.com/company/500global,https://www.instagram.com/500Global/,
1,Alchemist Accelerator,accelerator,US,San Francisco,https://www.alchemistaccelerator.com,https://fundingcake.com/listing/alchemist-accelerator/,"Alchemist Accelerator is an accelerator for startups with enterprise solutions or products.

For portfolio companies [check out there](https://www.alchemistaccelerator.com/portfolio).",,San Francisco Accelerators | San Francisco 🇺🇸🌉,,,,1.0,alchemist-accelerator,https://fundingcake.com/wp-content/uploads/2023/02/Alchemist-Accelerator-San-Francisco.png,,https://twitter.com/AlchemistAcc,https://www.linkedin.com/company/alchemist-accelerator/,https://www.instagram.com/alchemistaccelerator/,
1,Alliance,accelerator,US,Austin,https://alliance.xyz,https://fundingcake.com/listing/alliance/,The leading Web3 accelerator based out of Austin.,,Austin Accelerators & Incubators | Austin 🇺🇸,,,,1.0,alliance,https://fundingcake.com/wp-content/uploads/2023/04/Alliance.png,,https://twitter.com/alliancedao,https://www.linkedin.com/company/alliancedao/,,
1,AngelPad,accelerator,US,New York,https://angelpad.org,https://fundingcake.com/listing/angelpad/,AngelPad is an accelerator in San Francisco. It has $2.2 billion in portfolio funding,,New York Accelerators & Incubators | New York 🇺🇸 | San Francisco Accelerators | San Francisco 🇺🇸🌉,,$2.2,,1.0,angelpad,https://fundingcake.com/wp-content/uploads/2023/02/AngelPad.png,,,https://www.linkedin.com/company/angelpad-llc/,,
1,Antler US Boulder,accelerator,US,Boulder,https://www.antler.co/location/us,https://fundingcake.com/listing/antler-us-boulder/,"Antler US has location in Boulder, New York and Austin.",,Boulder Accelerators & Incubators | Boulder Venture Capital | Boulder 🇺🇸,,,,0.83,antler-us-boulder,https://fundingcake.com/wp-content/uploads/2023/03/Antler-USA-Accelerator.png,,,,,
1,Austin Community College Bio Incubator,accelerator,US,Austin,https://sites.austincc.edu/incubator,https://fundingcake.com/listing/acc-bio-incubator/,The Bioscience Incubator is a wet lab and business incubator at ACC’s Highland Campus.,,Austin Accelerators & Incubators | Austin 🇺🇸,,,,0.83,acc-bio-incubator,https://fundingcake.com/wp-content/uploads/2023/06/Austin-Community-College-Bio-Incubator.png,,,,,
1,Austin Community College Fashion Incubator,accelerator,US,Austin,https://sites.austincc.edu/fashion-incubator,https://fundingcake.com/listing/acc-fashion-incubator/,Austin Community College’s Fashion Incubator prepares aspiring designers and established entrepreneurs for success,,Austin Accelerators & Incubators | Austin 🇺🇸,,,,0.83,acc-fashion-incubator,https://fundingcake.com/wp-content/uploads/2023/06/Austin-Community-College-Fashion-Incubator.png,,,,,
1,Austin Technology Incubator,accelerator,US,Austin,https://ati.utexas.edu,https://fundingcake.com/listing/austin-technology-incubator/,"Austin Technology Incubator is the deep technology incubator of The University of Texas at Austin. Deep tech, deep engagement, deep impact.",,Austin Accelerators & Incubators | Austin 🇺🇸,,,,1.0,austin-technology-incubator,https://fundingcake.com/wp-content/uploads/2023/03/Austin-Technology-Incubator.png,,https://twitter.com/ATI_UT,,,
1,Babson College Center for Women’s Entrepreneurial Leadership,accelerator,US,Miami,https://www.babson.edu/womens-leadership-institute/campus-programs,https://fundingcake.com/listing/babson-college-center-for-womens-entrepreneurial-leadership/,"Entrepreneurship program for women entrepreneurs. The programming spans from the Babson classroom to the Miami startup ecosystem and aims to create opportunities for a diverse set of stakeholders to participate, develop, and learn.",women startup accelerators,Miami Accelerators & Incubators | Miami Female Founders | Miami 🇺🇸,,,,0.83,babson-college-center-for-womens-entrepreneurial-leadership,https://fundingcake.com/wp-content/uploads/2023/10/Babson-College-Center-for-Womens-Entrepreneurial-Leadership.png,,,,,
1,Bengal Entrepreneurship Program,accelerator,US,Buffalo,https://sbdc.buffalostate.edu/bengal-entrepreneurship-program,https://fundingcake.com/listing/bengal-entrepreneurship-program/,Bengal Entrepreneurship Program is the incubator at Buffalo State University Buffalo.,,Buffalo Accelerators & Incubators | Buffalo 🇺🇸,,,,0.83,bengal-entrepreneurship-program,https://fundingcake.com/wp-content/uploads/2023/05/Bengal-Entrepreneurship-Program.png,,,,,
1,Berkeley SkyDeck,accelerator,US,San Francisco,https://skydeck.berkeley.edu,https://fundingcake.com/listing/berkeley-skydeck/,"UC Berkeley’s Global Startup Accelerator/Incubator. They support UC Berkeley entrepreneurs and moonshot startups from around the globe!

For the list of companies [check it out here](https://skydeck.berkeley.edu/portfolio/).",,San Francisco Accelerators | San Francisco 🇺🇸🌉,,,,1.0,berkeley-skydeck,https://fundingcake.com/wp-content/uploads/2023/02/Berkeley-SkyDeck.png,https://www.facebook.com/BerkeleySkyDeck/,https://twitter.com/SkyDeck_Cal,https://www.linkedin.com/company/skydeck-berkeley/,,
1,Boomtown Accelerators,accelerator,US,Boulder,https://boomtownaccelerators.com,https://fundingcake.com/listing/boomtown-accelerators/,Boomtown Innovation Platforms harness external innovation.,,Boulder Accelerators & Incubators | Boulder 🇺🇸,,,,1.0,boomtown-accelerators,https://fundingcake.com/wp-content/uploads/2023/05/Boomtown-Accelerators.png,,https://twitter.com/boomtown,https://www.linkedin.com/company/boomtownaccelerators/,,
1,Brandeis Innovation,accelerator,US,Boston,https://www.brandeis.edu/innovation/grant-programs/index-copy.html,https://fundingcake.com/listing/brandeis-innovation/,"The Brandeis Virtual Incubator fosters entrepreneurship in Brandeis students, post-doctoral fellows, staff and faculty. The Virtual Incubator is a focal point for anyone at Brandeis interested in technology commercialization. The Virtual Incubator’s activities are four-fold, designed to foster entrepreneurial activities within the Brandeis community including:",,Boston Accelerators & Incubators | Boston 🇺🇸,,,,1.0,brandeis-innovation,https://fundingcake.com/wp-content/uploads/2023/05/Brandeis-Innovation.png,,https://twitter.com/deisinnovation,,,
1,Caltech New Ventures,accelerator,US,Los Angeles,https://innovation.caltech.edu/new-ventures,https://fundingcake.com/listing/caltech-new-ventures/,Caltech New Ventures & Entrepreneurship is the incubator at California Institute of Technology.,,Los Angeles Accelerators & Incubators | Los Angeles 🇺🇸,,,,0.83,caltech-new-ventures,https://fundingcake.com/wp-content/uploads/2023/03/Caltech-New-Ventures.png,,,,,
1,Canadian Women's Network,accelerator,US,San Francisco,https://www.cwnsv.com,https://fundingcake.com/listing/canadian-women-network/,"Connecting Canadian female founders with investors, mentorship & masterclass programs.",startup accelerators canada | women startup accelerators,San Francisco Accelerators | San Francisco 🇺🇸🌉,,,,0.83,canadian-women-network,https://fundingcake.com/wp-content/uploads/2023/10/Canadian-Womens-Network.png,,,,,
1,Cardinal Ventures,accelerator,US,San Francisco,https://www.cardinalventures.org,https://fundingcake.com/listing/cardinal-ventures/,"Cardinal Ventures supports students founders without taking equity. They offer three programs:

1) Accelerator

2) Deeptech Fellowship

3) College Ventures Network

Over $540 million was raised for the ventures. Check out their [alumni there](https://www.cardinalventures.org/alumni).",,San Francisco Accelerators | San Francisco 🇺🇸🌉,,$540,,1.0,cardinal-ventures,https://fundingcake.com/wp-content/uploads/2023/02/Cardinal-Ventures-San-Francisco.png,,https://twitter.com/CardinalVenturs,https://www.linkedin.com/company/cardinal-ventures/,,
1,Catalyst Program,accelerator,US,San Francisco,https://innovation.ucsf.edu/venture/catalyst-program,https://fundingcake.com/listing/catalyst-program/,Catalyst Program is the University of California San Francisco incubator for health related startups.,,San Francisco Accelerators | San Francisco 🇺🇸🌉,,,,1.0,catalyst-program,https://fundingcake.com/wp-content/uploads/2023/03/Catalyst-Program.png,,https://twitter.com/UCSF_Catalyst,,,
1,Catalyze CU,accelerator,US,Boulder,https://www.colorado.edu/catalyzecu,https://fundingcake.com/listing/catalyze-cu/,Catalyze CU is the incubator at University of Colorado Boulder.,,Boulder Accelerators & Incubators | Boulder 🇺🇸,,,,0.83,catalyze-cu,https://fundingcake.com/wp-content/uploads/2023/05/Catalyze-CU.jpg,,,,,
1,Cedar Sinai Accelerator,accelerator,US,Los Angeles,https://csaccelerator.com,https://fundingcake.com/listing/cedar-sinai-accelerator/,"Cedar Sinai Accelerator is a healthcare accelerator. It is transforming healthcare quality, efficiency, and care delivery by helping entrepreneurs bring their innovative technology products to market.",,Los Angeles Accelerators & Incubators | Los Angeles 🇺🇸,,,,0.83,cedar-sinai-accelerator,https://fundingcake.com/wp-content/uploads/2023/03/Cedar-Sinai-Accelerator.png,,,,,
