slug,program_name,type,apply_url,extracted_question,matched_question_id,matched_question_text,similarity,confidence,recommendation
boston-startup-idea-to-ipo,Boston Startup: Idea to IPO,other,https://www.meetup.com/register/?returnUri=https%3A%2F%2Fwww.meetup.com%2Fboston-idea-to-ipo%2F,none_found,,,,,none_found
boulder-startup-week,Boulder Startup Week,other,https://revelco.org/bsw/,none_found,,,,,none_found
buffalo-startup-week,Buffalo Startup Week,other,https://luma.com/a35ob3fy,none_found,,,,,none_found
calgary-hackathon,Calgary Hackathon,other,https://www.showpass.com/yyc-hacks-chinook-blast-2024,none_found,,,,,none_found
canadian-innovation-exchange,Canadian Innovation Exchange,other,https://cixsummit.com/tickets/,none_found,,,,,none_found
centre-for-social-innovation,Centre for Social Innovation,other,https://socialinnovation.org/join-us/membership/,none_found,,,,,none_found
chicago-startup-community,Chicago Startup Community,other,https://www.meetup.com/register/?returnUri=https%3A%2F%2Fwww.meetup.com%2Fchicago-startup-community%2F,none_found,,,,,none_found
dc-tech-venture-coalition,DC Tech & Venture Coalition,other,https://dctav.wufoo.com/forms/dctav-join-us/,none_found,,,,,none_found
designx-community,DesignX Community,other,https://designx.community/join,none_found,,,,,none_found
dx3-canada,DX3 Canada,other,https://dx3canada.com/register,none_found,,,,,none_found
founder-led-biotech-summit,Founder-led Biotech Summit,other,https://founderledbio.com/tour/,none_found,,,,,none_found
foundersbeta,FoundersBeta,other,https://foundersbeta.com/membership/,none_found,,,,,none_found
fuck-up-toronto,Fuck Up Toronto,other,https://docs.google.com/forms/d/e/1FAIpQLScK51l0f4BJA7X_ba4vSd-887aHJv5OQXwJHxLqYvdva7xUhw/viewform,Tell us about your professional failure story. What happened and what did you learn?,d5361478-144b-418a-8993-e8392daba417,Tell us about yourself and your journey to this work. What drives you?,0.52,low,skip
greater-kw-chamber-of-commerce,Greater KW Chamber of Commerce,other,https://greaterkwchamber.com/membership/join,none_found,,,,,none_found
guelph-chamber-of-commerce,Guelph Chamber of Commerce,other,https://www.guelphchamber.com/membership/become-a-member,none_found,,,,,none_found
hacktx,HackTX,other,https://rodeo.freetailhackers.com/,none_found,,,,,none_found
